series_id,provider,model,model_family,archetype,prompt_language,setting,reasoning,n_requested,n_entries,n_success,n_failed,literal_unique_count,classification,first_response_count,dominant_response_count,rest_unique_count,first_ttft_seconds,rest_ttft_seconds_p10,rest_ttft_seconds_median,rest_ttft_seconds_p90,first_response_sha256,dominant_response_sha256,variant_summary
0504-lmstudio-gptoss20b-roundtrip-en-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,EN,baseline,low,100,100,100,0,2,FIRST_DIFF_REST_SAME,1,99,1,1.115,0.067,0.069,0.083,cbb23d9a50cddb8614945643de426a27ac38e9c41cbabe9d5ef194ef93f0670a,8063f4a78aba7ea726930dd6dca2dfc8a3a29f2eefb4c55320c3640da71fef55,v1=1@1#cbb23d9a50cd;v2=99@2-100#8063f4a78aba
0505-lmstudio-gptoss20b-factual-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,FACTUAL_CRITICAL_BERN_ZURICH_CONNECTION,DE,baseline,low,100,100,100,0,1,ALL_SAME,100,100,1,1.219,0.067,0.069,0.083,7ae830f6c3fea65394ef04afe234b4b7501e9a22c674a8c239e34fdbcbd33413,7ae830f6c3fea65394ef04afe234b4b7501e9a22c674a8c239e34fdbcbd33413,v1=100@1-100#7ae830f6c3fe
0506-lmstudio-gptoss20b-literal-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,LITERAL_FORMAT_CRITICAL_TRAVELER_GUIDANCE,DE,baseline,low,100,100,100,0,1,ALL_SAME,100,100,1,1.377,0.066,0.068,0.082,d98532e79914621ee6a4be78a3a88abc22021a87c6b2d9e0eed72785cab2b7f3,d98532e79914621ee6a4be78a3a88abc22021a87c6b2d9e0eed72785cab2b7f3,v1=100@1-100#d98532e79914
0507-lmstudio-gptoss20b-creative-reasoning-low-baseline,LMSTUDIO,openai/gpt-oss-20b,gpt-oss,CREATIVE_GENERATIVE_LUCERNE_MARKETING,DE,baseline,low,100,100,100,0,2,FIRST_DIFF_REST_SAME,1,99,1,0.961,0.067,0.068,0.082,7853d55e73f852dfe62a34e89c42f3fca16a1c837cb5452813962db5637674ab,e647a65d760167fdc353521ede1bdb48a915dfae80cdb3ee45d3ec893a98eb2d,v1=1@1#7853d55e73f8;v2=99@2-100#e647a65d7601
0400-lmstudio-qwen35-9b-roundtrip-de-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,DE,baseline,off,100,100,100,0,1,ALL_SAME,100,100,1,0.105,0.039,0.04,0.054,cbcdaf2a32330972d26b8ef2dbd2b1a2520684d9b41e3e3f416dcf6d02bce2fd,cbcdaf2a32330972d26b8ef2dbd2b1a2520684d9b41e3e3f416dcf6d02bce2fd,v1=100@1-100#cbcdaf2a3233
0403-lmstudio-qwen35-9b-roundtrip-it-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,IT,baseline,off,100,100,100,0,1,ALL_SAME,100,100,1,0.108,0.038,0.053,0.054,d57cb49e30a2d4b18a208113ad6578815569b27779615f39f76d73fd1821d0be,d57cb49e30a2d4b18a208113ad6578815569b27779615f39f76d73fd1821d0be,v1=100@1-100#d57cb49e30a2
0404-lmstudio-qwen35-9b-roundtrip-fr-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,FR,baseline,off,100,100,100,0,1,ALL_SAME,100,100,1,0.111,0.038,0.04,0.054,7156dbdce6160cdf098699cb6d9beb14e4e6e003895d15c04556ae753412fd2c,7156dbdce6160cdf098699cb6d9beb14e4e6e003895d15c04556ae753412fd2c,v1=100@1-100#7156dbdce616
0405-lmstudio-qwen35-9b-roundtrip-en-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,ADVISORY_RECOMMENDATION_SWISS_ROUND_TRIP,EN,baseline,off,100,100,100,0,1,ALL_SAME,100,100,1,0.096,0.038,0.04,0.054,c63091ab38568a5707a709bb23d205f1230c26e99c79af8172eb7ab152201838,c63091ab38568a5707a709bb23d205f1230c26e99c79af8172eb7ab152201838,v1=100@1-100#c63091ab3856
0406-lmstudio-qwen35-9b-factual-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,FACTUAL_CRITICAL_BERN_ZURICH_CONNECTION,DE,baseline,off,100,100,100,0,1,ALL_SAME,100,100,1,0.115,0.039,0.04,0.055,75bece8d91b1b79b1d3a80ca8f90c34378f3ac2d96743d31012984a08d80b3ac,75bece8d91b1b79b1d3a80ca8f90c34378f3ac2d96743d31012984a08d80b3ac,v1=100@1-100#75bece8d91b1
0407-lmstudio-qwen35-9b-literal-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,LITERAL_FORMAT_CRITICAL_TRAVELER_GUIDANCE,DE,baseline,off,100,100,100,0,1,ALL_SAME,100,100,1,0.151,0.038,0.04,0.055,9fbd2eae3af0d8c5d8c6545856abdad7b32f4a45647402d992d051e488bfb8d7,9fbd2eae3af0d8c5d8c6545856abdad7b32f4a45647402d992d051e488bfb8d7,v1=100@1-100#9fbd2eae3af0
0408-lmstudio-qwen35-9b-creative-baseline,LMSTUDIO,qwen/qwen3.5-9b,qwen,CREATIVE_GENERATIVE_LUCERNE_MARKETING,DE,baseline,off,100,100,100,0,1,ALL_SAME,100,100,1,0.081,0.055,0.066,0.071,e266f3aa2f91bc23064dd4186803e5ae10ce0daffeaf0af4126cc7feaef2efaa,e266f3aa2f91bc23064dd4186803e5ae10ce0daffeaf0af4126cc7feaef2efaa,v1=100@1-100#e266f3aa2f91
